course_id,text,filtered_text,count,text_vi
C_707073,初次收入与二次分配,初次收入二次分配,1.0,Thu nhập sơ cấp và phân phối thứ cấp
C_707073,讲的很棒,讲很棒,1.0,Nói chuyện tuyệt vời
C_707073,签到,签到,1.0,Đăng nhập
C_707073,顺差不一定好,顺差一定,1.0,Thặng dư chưa chắc đã tốt
C_707073,一直打不开,一直打不开,1.0,Không mở được luôn
C_707073,赞坚持学习,赞坚持学习,1.0,Thích tiếp tục học hỏi
C_707073,用电脑能看,电脑,1.0,Có thể xem trên máy tính
C_707073,老师讲的非常透彻,老师讲非常透彻,1.0,Thầy giảng rất cặn kẽ
C_707073,第九分钟的金融资产那里应该是增长了1427吧,第九分钟金融资产应该增长1427,1.0,"Vào phút thứ chín, tài sản tài chính đáng lẽ phải tăng thêm 1427, phải không?"
C_707073,很好讲的很清楚,讲清楚,1.0,"Rất tốt, rất rõ ràng"
C_707073,今天,今天,1.0,Hôm nay
C_707073,欧元的产生是国际货币一体化的必然趋势吗,欧元产生国际货币一体化必然趋势,1.0,Sự xuất hiện của đồng euro có phải là xu hướng tất yếu trong hội nhập tiền tệ quốc tế?
C_707079,讲得好,讲得,1.0,Nói hay lắm
C_707079,讲得全面细致,讲得全面细致,1.0,Nói một cách toàn diện và tỉ mỉ
C_707079,讲的非常清楚重点非常突出,讲非常清楚重点非常突出,1.0,Nó rất rõ ràng và những điểm chính rất nổi bật.
C_707079,刘钰别看了你学不会的,刘钰别学不会,1.0,"Lưu Vũ, đừng nhìn, ngươi không học được."
C_707079,居然不能快进,居然不能快进,1.0,Không thể tua nhanh
C_707079,内容很好就是普通话不太标准,内容普通话不太标准,1.0,Nội dung rất hay nhưng tiếng phổ thông chưa chuẩn lắm.
C_707079,刘玉加油,刘玉加油,1.0,Cố lên nhé Lưu Vũ
C_707079,卢显裕别看了,卢显裕别,1.0,"Lục Tiên Vũ, đừng nhìn nữa"
C_707079,打卡,打卡,109.0,Đăng ký vào
C_707079,好讲的好,讲,1.0,Nói tốt
C_707079,老师的课讲得太好了思路清晰重点突出课件也设计得非常好非常用心比较了中国大学慕课和学堂在线及其它平台上的马原课程觉得老师的课是讲得最棒的看得出马克思主义理论功底深厚值得学习和研究,老师课讲太好了思路清晰重点突出课件设计非常非常用心比较中国大学慕课学堂在线平台马原课程觉得老师课讲棒看得出马克思主义理论功底深厚值得学习研究,1.0,"Bài giảng của giáo viên rất hay. Ý tưởng rõ ràng và những điểm chính được nhấn mạnh. Chương trình học cũng được thiết kế rất tốt. Tôi đã so sánh cẩn thận các khóa học MOOC và Ma Yuan của Đại học Trung Quốc trên Xuetang Online và các nền tảng khác. bài giảng là hay nhất Có thể thấy, nền tảng lý luận của chủ nghĩa Mác rất sâu sắc, đáng để học tập, nghiên cứu."
C_707079,老师讲的是11月28号字幕打成了4月28号,老师讲1128号字幕打成428号,1.0,Giáo viên cho biết phụ đề ngày 28/11 đã được đổi thành ngày 28/4.
C_707079,签到,签到,1.0,Đăng nhập
C_707079,空降,空降,1.0,trên không
C_707079,留名,留名,1.0,Để lại tên của bạn
C_707079,dk第三节,dk第三节,1.0,dk phần 3
C_707079,打卡啦,打卡,1.0,Đăng ký vào
C_707079,签退卡,签退卡,1.0,Thẻ đăng xuất
C_707081,这很人工智能,人工智能,1.0,Đây là trí tuệ nhân tạo
C_707081,智能体通过感受器感知通过执行器实现作用,智能体感受器感知执行器实现作用,1.0,Tác nhân cảm nhận thông qua các cảm biến và thực hiện các hành động thông qua bộ truyền động.
C_707081,2倍速你值得拥有,2倍速值得拥有,1.0,Tốc độ gấp 2 lần bạn xứng đáng
C_707081,非常的棒让我们这些没机会读大学的也可以接触大学知识了,非常棒没机会读大学接触大学知识,1.0,"Thật tuyệt vời, nó cho phép những người trong chúng ta, những người không có cơ hội vào đại học, có thể tiếp xúc với kiến ​​thức đại học."
C_707081,打卡,打卡,1.0,Đăng ký vào
C_707081,打卡,打卡,1.0,Đăng ký vào
C_707081,可能是你没做作业,可能没做作业,1.0,Có lẽ bạn chưa làm bài tập về nhà
C_707081,加载不出来,加载,1.0,Không thể tải
C_707081,加载不了,加载不了,1.0,Không thể tải
