course_id,text,filtered_text,count,text_vi
C_677014,怎么内容是庖丁解牛,内容庖丁解牛,1.0,"Tại sao nội dung là ""Pao Ding Jie Niu""?"
C_677014,中国文化博大精深,中国文化博大精深,1.0,Văn hóa Trung Hoa rộng lớn và sâu sắc
C_677014,中国文化博大精深,中国文化博大精深,1.0,Văn hóa Trung Hoa rộng lớn và sâu sắc
C_677014,中国文化博大精深,中国文化博大精深,1.0,Văn hóa Trung Hoa rộng lớn và sâu sắc
C_677014,中国文化博大精深,中国文化博大精深,1.0,Văn hóa Trung Hoa rộng lớn và sâu sắc
C_677014,中国文化博大精深,中国文化博大精深,1.0,Văn hóa Trung Hoa rộng lớn và sâu sắc
C_677014,中国文化博大精深,中国文化博大精深,1.0,Văn hóa Trung Hoa rộng lớn và sâu sắc
C_677014,谢谢很喜欢您,谢谢喜欢,1.0,"Cảm ơn bạn, tôi rất thích bạn."
C_677014,谢谢老师辛苦了喜欢,谢谢老师辛苦喜欢,1.0,"Cảm ơn giáo viên đã làm việc chăm chỉ, tôi thích nó."
C_677014,老师讲的很好生动有趣,老师讲生动有趣,1.0,Bài giảng của thầy rất sinh động và thú vị.
C_677014,有趣的中国文化,有趣中国文化,1.0,Văn hóa Trung Quốc thú vị
C_677014,中国优秀传统文化源远流长博大精深,中国优秀传统文化源远流长博大精深,1.0,"Nền văn hóa truyền thống đặc sắc của Trung Quốc có lịch sử lâu đời, sâu sắc và sâu sắc"
C_677014,老师的方言太地道了,老师方言太地道,1.0,Giọng nói của thầy chân thực quá
C_677014,真好,真,1.0,rất đẹp
C_677014,棒棒,棒棒,1.0,Bangbang
C_677014,讲的特别好,讲特别,1.0,Nói rất hay
C_677014,幸苦老师谢谢,幸苦老师谢谢,1.0,Cảm ơn thầy Xingku
C_677014,琴声喜欢,琴声喜欢,1.0,Tôi thích âm thanh của đàn piano
C_677014,讲的很有道理,讲道理,1.0,Điều đó có ý nghĩa
C_677014,佛教文化的第五讲视频错误了,佛教文化第五讲视频错误,1.0,Video bài giảng thứ năm về văn hóa Phật giáo bị sai
C_677014,钟老师讲的太棒啦比心,钟老师讲太棒比心,1.0,Bài giảng của thầy Zhong hay quá!
